order 	 paths 	 value 
6	3 1 1 1 1 4	0.00111897
5	3 1 1 1 2 nan	0.065733
6	3 1 1 1 2 4	0.0131466
5	3 1 1 1 4 nan	0.0805551
4	3 1 1 2 nan nan	0.591597
6	3 1 1 2 1 4	0.00532841
5	3 1 1 2 2 nan	0.0788796
6	3 1 1 2 2 4	0.0157759
5	3 1 1 2 4 nan	0.115999
4	3 1 1 4 nan nan	0.724996
3	3 1 2 nan nan nan	2.23492
6	3 1 2 1 1 4	0.00767291
5	3 1 2 1 2 nan	0.140856
6	3 1 2 1 2 4	0.0281713
5	3 1 2 1 4 nan	0.172618
4	3 1 2 2 nan nan	0.297989
6	3 1 2 2 1 4	0.011418
5	3 1 2 2 2 nan	0.0397319
6	3 1 2 2 2 4	0.00794638
5	3 1 2 2 4 nan	0.0584293
4	3 1 2 4 nan nan	0.43822
3	3 1 3 nan nan nan	1.47443
6	3 1 3 1 1 4	0.00386487
5	3 1 3 1 2 nan	0.0851398
6	3 1 3 1 2 4	0.017028
5	3 1 3 1 4 nan	0.104338
4	3 1 3 2 nan nan	0.186243
6	3 1 3 2 1 4	0.00690156
5	3 1 3 2 2 nan	0.0248325
6	3 1 3 2 2 4	0.00496649
5	3 1 3 2 4 nan	0.0365183
4	3 1 3 4 nan nan	0.730366
3	3 1 4 nan nan nan	2.73887
2	3 2 nan nan nan nan	5.86667
6	3 2 1 1 1 4	0.00241555
5	3 2 1 1 2 nan	0.1419
6	3 2 1 1 2 4	0.0283799
5	3 2 1 1 4 nan	0.173897
4	3 2 1 2 nan nan	0.532124
6	3 2 1 2 1 4	0.0115026
5	3 2 1 2 2 nan	0.0709499
6	3 2 1 2 2 4	0.01419
5	3 2 1 2 4 nan	0.104338
4	3 2 1 4 nan nan	0.652113
3	3 2 2 nan nan nan	0.782222
6	3 2 2 1 1 4	0.00690156
5	3 2 2 1 2 nan	0.126696
6	3 2 2 1 2 4	0.0253392
5	3 2 2 1 4 nan	0.155265
4	3 2 2 2 nan nan	0.104296
6	3 2 2 2 1 4	0.0102702
5	3 2 2 2 2 nan	0.0139062
6	3 2 2 2 2 4	0.00278123
5	3 2 2 2 4 nan	0.0204503
4	3 2 2 4 nan nan	0.153377
3	3 2 3 nan nan nan	0.688066
6	3 2 3 1 1 4	0.00135271
5	3 2 3 1 2 nan	0.0297989
6	3 2 3 1 2 4	0.00595979
5	3 2 3 1 4 nan	0.0365183
4	3 2 3 2 nan nan	0.0869136
6	3 2 3 2 1 4	0.00241555
5	3 2 3 2 2 nan	0.0115885
6	3 2 3 2 2 4	0.0023177
5	3 2 3 2 4 nan	0.0170419
4	3 2 3 4 nan nan	0.340838
3	3 2 4 nan nan nan	1.15033
2	3 3 nan nan nan nan	7.74074
6	3 3 1 1 1 4	0.00112725
5	3 3 1 1 2 nan	0.0662199
6	3 3 1 1 2 4	0.013244
5	3 3 1 1 4 nan	0.0811518
4	3 3 1 2 nan nan	0.223492
6	3 3 1 2 1 4	0.00536788
5	3 3 1 2 2 nan	0.0297989
6	3 3 1 2 2 4	0.00595979
5	3 3 1 2 4 nan	0.043822
4	3 3 1 4 nan nan	0.273887
3	3 3 2 nan nan nan	0.977778
6	3 3 2 1 1 4	0.00289866
5	3 3 2 1 2 nan	0.0532124
6	3 3 2 1 2 4	0.0106425
5	3 3 2 1 4 nan	0.0652113
4	3 3 2 2 nan nan	0.13037
6	3 3 2 2 1 4	0.00431347
5	3 3 2 2 2 nan	0.0173827
6	3 3 2 2 2 4	0.00347654
5	3 3 2 2 4 nan	0.0255628
4	3 3 2 4 nan nan	0.191721
3	3 3 3 nan nan nan	1.29012
6	3 3 3 1 1 4	0.00169088
5	3 3 3 1 2 nan	0.0372487
6	3 3 3 1 2 4	0.00744974
5	3 3 3 1 4 nan	0.0456479
4	3 3 3 2 nan nan	0.162963
6	3 3 3 2 1 4	0.00301943
5	3 3 3 2 2 nan	0.0217284
6	3 3 3 2 2 4	0.00434568
5	3 3 3 2 4 nan	0.0319535
4	3 3 3 4 nan nan	0.63907
3	3 3 4 nan nan nan	3.83442
2	3 4 nan nan nan nan	23.0065
6	3 4 1 1 1 4	0.0021136
5	3 4 1 1 2 nan	0.124162
6	3 4 1 1 2 4	0.0248325
5	3 4 1 1 4 nan	0.15216
4	3 4 1 2 nan nan	0.744974
6	3 4 1 2 1 4	0.0100648
5	3 4 1 2 2 nan	0.0993298
6	3 4 1 2 2 4	0.019866
5	3 4 1 2 4 nan	0.146073
4	3 4 1 4 nan nan	0.912958
3	3 4 2 nan nan nan	4.14118
6	3 4 2 1 1 4	0.00966218
5	3 4 2 1 2 nan	0.177375
6	3 4 2 1 2 4	0.0354749
5	3 4 2 1 4 nan	0.217371
4	3 4 2 2 nan nan	0.552157
6	3 4 2 2 1 4	0.0143782
5	3 4 2 2 2 nan	0.0736209
6	3 4 2 2 2 4	0.0147242
5	3 4 2 2 4 nan	0.108266
4	3 4 2 4 nan nan	0.811995
3	3 4 3 nan nan nan	0.607117
6	3 4 3 1 1 4	0.00716138
5	3 4 3 1 2 nan	0.157759
6	3 4 3 1 2 4	0.0315518
5	3 4 3 1 4 nan	0.193332
4	3 4 3 2 nan nan	0.0766885
6	3 4 3 2 1 4	0.0127882
5	3 4 3 2 2 nan	0.0102251
6	3 4 3 2 2 4	0.00204503
5	3 4 3 2 4 nan	0.015037
4	3 4 3 4 nan nan	0.300739
3	3 4 4 nan nan nan	2.70665
1	4 nan nan nan nan nan	77.6471
2	4 1 nan nan nan nan	5.07563
6	4 1 1 1 1 4	0.000994637
5	4 1 1 1 2 nan	0.0584293
6	4 1 1 1 2 4	0.0116859
5	4 1 1 1 4 nan	0.0716045
4	4 1 1 2 nan nan	0.525864
6	4 1 1 2 1 4	0.00473636
5	4 1 1 2 2 nan	0.0701152
6	4 1 1 2 2 4	0.014023
5	4 1 1 2 4 nan	0.103111
4	4 1 1 4 nan nan	0.644441
3	4 1 2 nan nan nan	3.54958
6	4 1 2 1 1 4	0.00682036
5	4 1 2 1 2 nan	0.125206
6	4 1 2 1 2 4	0.0250411
5	4 1 2 1 4 nan	0.153438
4	4 1 2 2 nan nan	0.473277
